Agro-Ecological Zone Compatibility,Pest disease vulnerability,Water irrigation reliability,Post Harvest Storage,Market Access,Planting/Sowing Time,Farmer experience,Cooperative Membership,Input Access and Affordability,AEZ_Score,Pest_Score,Water_Score,Storage_Score,Market_Score,Planting_Score,Experience_Score,Coop_Score,Input_Score,Risk Factor,Crop Type,Farmer ID,Farm Location,Price,Gender,Farm size,Previous Yield Output (Kgs),Persons with disability,Age
Low,Moderate,Low,No,Yes,High,>9 years,Yes,Yes,1.0,0.5,1.0,1,0,0,0.0,0,0,0.535,Beans,FARM_0510,Kajiado,137.27,Male,81.72,139754,No,33
Low,High,Moderate,Yes,Yes,High,>9 years,Yes,Yes,1.0,1.0,0.5,0,0,0,0.0,0,0,0.42,Maize,FARM_0511,Nairobi,55.61,Male,7.76,10840,No,25
High,Low,Moderate,No,Yes,Low,5-9 years,Yes,Yes,0.0,0.0,0.5,1,0,1,0.0,0,0,0.3,Maize,FARM_0512,Kirinyaga,55.61,Male,8.88,8274,No,90
High,High,High,No,Yes,Low,>9 years,Yes,Yes,0.0,1.0,0.0,1,0,1,0.0,0,0,0.4,Maize,FARM_0513,Nakuru,55.61,Male,13.98,12828,No,86
High,Low,High,Yes,Yes,High,5-9 years,Yes,No,0.0,0.0,0.0,0,0,0,0.0,0,1,0.02,Beans,FARM_0514,Taita Taveta,137.27,Male,24.31,58819,No,55
High,Low,Moderate,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.0,0.5,0,0,0,0.0,0,0,0.07,Maize,FARM_0515,Kirinyaga,55.61,Male,18.77,44091,No,72
High,Low,High,Yes,Yes,High,5-9 years,No,Yes,0.0,0.0,0.0,0,0,0,0.0,1,0,0.05,Maize,FARM_0516,Meru,55.61,Female,79.68,119383,No,64
Low,Moderate,High,Yes,Yes,High,<1 year,Yes,No,1.0,0.5,0.0,0,0,0,0.5,0,1,0.325,Beans,FARM_0517,Nyeri,137.27,Female,26.77,41239,No,36
Low,Moderate,Low,Yes,Yes,High,>9 years,Yes,Yes,1.0,0.5,1.0,0,0,0,0.0,0,0,0.405,Beans,FARM_0518,Murang'a,137.27,Female,77.06,161588,No,23
High,High,Moderate,No,Yes,High,<1 year,Yes,Yes,0.0,1.0,0.5,1,0,0,0.5,0,0,0.41,Maize,FARM_0519,Meru,55.61,Female,88.09,101339,No,89
High,High,Moderate,No,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.5,1,0,0,0.0,0,0,0.37,Beans,FARM_0520,Kajiado,137.27,Male,24.22,31559,No,87
High,High,High,Yes,Yes,High,1-4 years,No,Yes,0.0,1.0,0.0,0,0,0,0.5,1,0,0.26,Maize,FARM_0521,Elgeyo-Marakwet,55.61,Male,21.77,37375,No,24
Low,Moderate,Moderate,No,No,High,>9 years,Yes,Yes,1.0,0.5,0.5,1,1,0,0.0,0,0,0.595,Beans,FARM_0522,Siaya,137.27,Male,24.71,49394,No,35
High,High,Low,Yes,Yes,High,5-9 years,No,No,0.0,1.0,1.0,0,0,0,0.0,1,1,0.38,Beans,FARM_0523,Meru,137.27,Male,8.29,17067,No,42
Low,Moderate,Moderate,Yes,Yes,High,>9 years,No,Yes,1.0,0.5,0.5,0,0,0,0.0,1,0,0.385,Maize,FARM_0524,Kilifi,55.61,Male,45.42,40702,No,73
Moderate,High,High,Yes,No,High,1-4 years,Yes,Yes,0.5,1.0,0.0,0,1,0,0.5,0,0,0.43,Beans,FARM_0525,Turkana,137.27,Female,18.85,20123,Yes,48
Low,Moderate,Low,Yes,Yes,Low,5-9 years,No,Yes,1.0,0.5,1.0,0,0,1,0.0,1,0,0.555,Maize,FARM_0526,Makueni,55.61,Male,77.64,96234,No,79
High,Low,Moderate,No,Yes,High,1-4 years,Yes,Yes,0.0,0.0,0.5,1,0,0,0.5,0,0,0.24,Beans,FARM_0527,Isiolo,137.27,Female,30.06,28069,Yes,24
Moderate,High,High,No,Yes,Low,>9 years,Yes,No,0.5,1.0,0.0,1,0,1,0.0,0,1,0.51,Maize,FARM_0528,Makueni,55.61,Male,17.08,34138,No,42
High,Moderate,Moderate,Yes,No,High,1-4 years,Yes,Yes,0.0,0.5,0.5,0,1,0,0.5,0,0,0.325,Maize,FARM_0529,Nairobi,55.61,Male,80.66,125671,No,88
High,High,Moderate,Yes,No,Low,<1 year,Yes,No,0.0,1.0,0.5,0,1,1,0.5,0,1,0.53,Maize,FARM_0530,Bomet,55.61,Female,12.53,24476,No,41
High,Low,Moderate,Yes,Yes,High,>9 years,No,Yes,0.0,0.0,0.5,0,0,0,0.0,1,0,0.12,Maize,FARM_0531,Baringo,55.61,Male,4.81,4128,No,34
High,High,Low,No,Yes,Low,>9 years,Yes,Yes,0.0,1.0,1.0,1,0,1,0.0,0,0,0.54,Beans,FARM_0532,Tana River,137.27,Male,67.43,135637,Yes,22
Moderate,Low,High,Yes,Yes,Low,>9 years,Yes,Yes,0.5,0.0,0.0,0,0,1,0.0,0,0,0.19,Maize,FARM_0533,Kisumu,55.61,Female,28.6,36449,No,61
Low,Moderate,High,No,Yes,High,5-9 years,No,Yes,1.0,0.5,0.0,1,0,0,0.0,1,0,0.445,Beans,FARM_0534,Lamu,137.27,Male,12.5,13988,No,57
High,Low,Moderate,Yes,Yes,Low,>9 years,Yes,No,0.0,0.0,0.5,0,0,1,0.0,0,1,0.19,Beans,FARM_0535,Trans-Nzoia,137.27,Female,12.81,23560,No,25
High,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,No,0.0,0.5,0.5,0,0,0,0.0,0,1,0.175,Beans,FARM_0536,Tana River,137.27,Male,7.27,20064,No,69
Low,High,High,Yes,Yes,Low,5-9 years,Yes,Yes,1.0,1.0,0.0,0,0,1,0.0,0,0,0.4499999999999999,Beans,FARM_0537,Siaya,137.27,Male,11.05,9189,No,79
Moderate,High,High,Yes,Yes,Low,>9 years,No,Yes,0.5,1.0,0.0,0,0,1,0.0,1,0,0.41,Maize,FARM_0538,Wajir,55.61,Female,72.87,111157,No,34
Moderate,High,Moderate,Yes,No,Low,>9 years,No,Yes,0.5,1.0,0.5,0,1,1,0.0,1,0,0.6100000000000001,Maize,FARM_0539,Tana River,55.61,Male,11.5,12823,No,53
High,Low,Moderate,Yes,No,Low,>9 years,Yes,Yes,0.0,0.0,0.5,0,1,1,0.0,0,0,0.3,Maize,FARM_0540,Samburu,55.61,Male,22.24,18195,No,83
High,Moderate,Moderate,No,Yes,High,>9 years,Yes,Yes,0.0,0.5,0.5,1,0,0,0.0,0,0,0.285,Beans,FARM_0541,Homa Bay,137.27,Male,10.42,25989,No,58
Moderate,Moderate,Moderate,Yes,No,High,>9 years,No,Yes,0.5,0.5,0.5,0,1,0,0.0,1,0,0.425,Maize,FARM_0542,Migori,55.61,Male,12.16,27016,No,77
High,Low,Low,No,Yes,High,>9 years,No,No,0.0,0.0,1.0,1,0,0,0.0,1,1,0.34,Maize,FARM_0543,Bomet,55.61,Male,8.69,19221,No,84
High,High,High,No,Yes,Low,>9 years,No,Yes,0.0,1.0,0.0,1,0,1,0.0,1,0,0.45,Maize,FARM_0544,West Pokot,55.61,Female,24.17,20007,No,21
High,High,Moderate,Yes,Yes,Low,1-4 years,Yes,Yes,0.0,1.0,0.5,0,0,1,0.5,0,0,0.38,Maize,FARM_0545,Tharaka Nithi,55.61,Male,12.67,35973,No,74
High,Moderate,Moderate,No,Yes,Low,>9 years,Yes,No,0.0,0.5,0.5,1,0,1,0.0,0,1,0.405,Beans,FARM_0546,Meru,137.27,Male,4.77,7405,No,73
Moderate,Moderate,Low,No,No,High,5-9 years,Yes,Yes,0.5,0.5,1.0,1,1,0,0.0,0,0,0.575,Maize,FARM_0547,Busia,55.61,Female,85.44,71759,No,79
High,High,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.0,0,0,0.17,Beans,FARM_0548,Nandi,137.27,Female,12.48,22831,No,83
Moderate,Low,Moderate,No,No,High,>9 years,Yes,No,0.5,0.0,0.5,1,1,0,0.0,0,1,0.44,Maize,FARM_0549,Garissa,55.61,Male,13.37,12648,No,28
High,Moderate,High,Yes,Yes,High,<1 year,Yes,Yes,0.0,0.5,0.0,0,0,0,0.5,0,0,0.125,Maize,FARM_0550,Nairobi,55.61,Male,29.85,42132,No,60
High,Low,Low,Yes,Yes,Low,5-9 years,Yes,Yes,0.0,0.0,1.0,0,0,1,0.0,0,0,0.24,Beans,FARM_0551,Makueni,137.27,Male,17.57,23661,No,71
Moderate,Moderate,High,Yes,Yes,High,1-4 years,Yes,Yes,0.5,0.5,0.0,0,0,0,0.5,0,0,0.215,Beans,FARM_0552,Tharaka Nithi,137.27,Male,16.12,21045,No,65
Moderate,Moderate,Moderate,No,No,High,1-4 years,Yes,Yes,0.5,0.5,0.5,1,1,0,0.5,0,0,0.545,Maize,FARM_0553,Kakamega,55.61,Male,21.91,48983,No,23
High,Low,Moderate,No,Yes,Low,1-4 years,No,Yes,0.0,0.0,0.5,1,0,1,0.5,1,0,0.39,Beans,FARM_0554,Homa Bay,137.27,Male,21.91,34783,No,36
High,Moderate,Moderate,Yes,No,High,5-9 years,Yes,Yes,0.0,0.5,0.5,0,1,0,0.0,0,0,0.285,Beans,FARM_0555,Narok,137.27,Female,13.22,35629,No,76
High,Moderate,Moderate,Yes,No,High,>9 years,Yes,No,0.0,0.5,0.5,0,1,0,0.0,0,1,0.305,Maize,FARM_0556,Kirinyaga,55.61,Male,8.32,18995,No,72
High,Moderate,Moderate,Yes,No,High,5-9 years,No,Yes,0.0,0.5,0.5,0,1,0,0.0,1,0,0.335,Beans,FARM_0557,Garissa,137.27,Male,15.92,32951,No,22
High,High,High,Yes,Yes,High,5-9 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.0,0,0,0.17,Beans,FARM_0558,Bungoma,137.27,Male,66.97,60765,Yes,19
High,Low,High,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,Maize,FARM_0559,Uasin Gishu,55.61,Male,32.47,52362,No,26
High,Moderate,Moderate,No,Yes,Low,5-9 years,Yes,Yes,0.0,0.5,0.5,1,0,1,0.0,0,0,0.385,Beans,FARM_0560,Laikipia,137.27,Female,85.31,144052,No,56
Moderate,Moderate,High,No,No,High,1-4 years,Yes,Yes,0.5,0.5,0.0,1,1,0,0.5,0,0,0.475,Maize,FARM_0561,Isiolo,55.61,Male,1.98,2892,No,19
High,High,Moderate,Yes,Yes,High,1-4 years,No,Yes,0.0,1.0,0.5,0,0,0,0.5,1,0,0.33,Maize,FARM_0562,Embu,55.61,Female,8.6,22427,No,90
Moderate,Moderate,Low,Yes,Yes,High,>9 years,No,Yes,0.5,0.5,1.0,0,0,0,0.0,1,0,0.365,Beans,FARM_0563,Isiolo,137.27,Male,62.03,51964,No,85
Low,High,Moderate,Yes,Yes,High,1-4 years,Yes,Yes,1.0,1.0,0.5,0,0,0,0.5,0,0,0.4599999999999999,Beans,FARM_0564,Lamu,137.27,Male,77.1,137676,No,48
Moderate,Moderate,Low,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,0.5,1.0,0,0,1,0.0,0,0,0.415,Beans,FARM_0565,Baringo,137.27,Female,20.36,34690,No,70
Low,Low,High,No,Yes,Low,5-9 years,No,Yes,1.0,0.0,0.0,1,0,1,0.0,1,0,0.46,Beans,FARM_0566,Marsabit,137.27,Female,18.54,33847,No,41
Low,Low,Moderate,No,Yes,High,>9 years,Yes,Yes,1.0,0.0,0.5,1,0,0,0.0,0,0,0.38,Beans,FARM_0567,Mandera,137.27,Male,89.91,107499,No,76
Low,High,High,Yes,Yes,High,>9 years,Yes,Yes,1.0,1.0,0.0,0,0,0,0.0,0,0,0.35,Maize,FARM_0568,Taita Taveta,55.61,Female,26.92,29672,No,84
Moderate,Low,High,Yes,Yes,High,5-9 years,Yes,Yes,0.5,0.0,0.0,0,0,0,0.0,0,0,0.09,Maize,FARM_0569,Trans-Nzoia,55.61,Female,4.09,10379,No,43
Moderate,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,No,0.5,0.5,0.5,0,0,0,0.0,0,1,0.265,Beans,FARM_0570,West Pokot,137.27,Male,25.14,51835,No,70
Moderate,Moderate,Low,Yes,Yes,High,1-4 years,No,Yes,0.5,0.5,1.0,0,0,0,0.5,1,0,0.4049999999999999,Beans,FARM_0571,Kwale,137.27,Male,97.24,209325,No,85
High,Low,Low,Yes,Yes,High,5-9 years,Yes,No,0.0,0.0,1.0,0,0,0,0.0,0,1,0.16,Beans,FARM_0572,Nandi,137.27,Female,4.18,2931,Yes,45
Moderate,Low,Moderate,Yes,Yes,Low,1-4 years,Yes,Yes,0.5,0.0,0.5,0,0,1,0.5,0,0,0.3,Beans,FARM_0573,Homa Bay,137.27,Female,16.42,17908,No,87
High,Low,Moderate,No,Yes,Low,>9 years,No,Yes,0.0,0.0,0.5,1,0,1,0.0,1,0,0.35,Maize,FARM_0574,Narok,55.61,Male,81.85,107707,No,63
High,High,High,Yes,Yes,High,5-9 years,No,No,0.0,1.0,0.0,0,0,0,0.0,1,1,0.24,Maize,FARM_0575,Kisumu,55.61,Male,67.53,172428,No,62
Moderate,Low,High,Yes,No,High,1-4 years,Yes,No,0.5,0.0,0.0,0,1,0,0.5,0,1,0.28,Maize,FARM_0576,Kitui,55.61,Female,15.59,19298,No,32
Moderate,Low,Low,Yes,Yes,Low,<1 year,Yes,Yes,0.5,0.0,1.0,0,0,1,0.5,0,0,0.37,Beans,FARM_0577,Nairobi,137.27,Female,18.31,15928,No,63
Moderate,High,High,Yes,Yes,Low,>9 years,Yes,Yes,0.5,1.0,0.0,0,0,1,0.0,0,0,0.36,Maize,FARM_0578,Uasin Gishu,55.61,Male,85.34,104984,No,87
High,High,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.0,0,0,0.17,Maize,FARM_0579,Narok,55.61,Female,23.16,44132,No,26
Low,High,Moderate,No,Yes,High,>9 years,Yes,Yes,1.0,1.0,0.5,1,0,0,0.0,0,0,0.55,Maize,FARM_0580,Nyeri,55.61,Male,12.99,34418,Yes,44
High,Low,High,Yes,Yes,Low,>9 years,Yes,No,0.0,0.0,0.0,0,0,1,0.0,0,1,0.12,Maize,FARM_0581,Isiolo,55.61,Male,8.09,17076,No,46
High,High,High,Yes,Yes,Low,>9 years,No,Yes,0.0,1.0,0.0,0,0,1,0.0,1,0,0.32,Maize,FARM_0582,Nyandarua,55.61,Male,9.43,27911,No,20
High,High,Low,Yes,Yes,Low,<1 year,Yes,No,0.0,1.0,1.0,0,0,1,0.5,0,1,0.47,Maize,FARM_0583,Narok,55.61,Female,42.68,118283,No,24
Moderate,Moderate,Low,Yes,Yes,High,<1 year,Yes,No,0.5,0.5,1.0,0,0,0,0.5,0,1,0.375,Beans,FARM_0584,Lamu,137.27,Male,12.46,21042,No,47
Low,Moderate,High,Yes,Yes,High,<1 year,No,No,1.0,0.5,0.0,0,0,0,0.5,1,1,0.375,Maize,FARM_0585,Machakos,55.61,Male,75.87,134310,No,32
Moderate,High,Low,Yes,Yes,High,1-4 years,No,Yes,0.5,1.0,1.0,0,0,0,0.5,1,0,0.49,Maize,FARM_0586,Makueni,55.61,Female,5.44,11535,No,45
Low,Moderate,High,Yes,Yes,High,1-4 years,Yes,No,1.0,0.5,0.0,0,0,0,0.5,0,1,0.325,Maize,FARM_0587,Makueni,55.61,Male,84.24,137581,No,84
Low,Low,High,Yes,Yes,High,>9 years,No,Yes,1.0,0.0,0.0,0,0,0,0.0,1,0,0.2299999999999999,Maize,FARM_0588,Homa Bay,55.61,Male,16.96,16505,No,31
High,Low,High,Yes,No,High,5-9 years,Yes,Yes,0.0,0.0,0.0,0,1,0,0.0,0,0,0.13,Maize,FARM_0589,Trans-Nzoia,55.61,Male,72.96,136257,No,34
Low,Low,High,No,Yes,Low,<1 year,Yes,Yes,1.0,0.0,0.0,1,0,1,0.5,0,0,0.45,Beans,FARM_0590,Isiolo,137.27,Female,87.88,94028,No,32
High,Low,Moderate,Yes,Yes,Low,5-9 years,No,Yes,0.0,0.0,0.5,0,0,1,0.0,1,0,0.22,Maize,FARM_0591,Makueni,55.61,Male,39.3,90168,No,85
Moderate,Moderate,Low,Yes,Yes,Low,<1 year,Yes,Yes,0.5,0.5,1.0,0,0,1,0.5,0,0,0.455,Maize,FARM_0592,Kericho,55.61,Male,22.25,20325,No,76
High,Low,High,Yes,Yes,Low,5-9 years,No,No,0.0,0.0,0.0,0,0,1,0.0,1,1,0.17,Maize,FARM_0593,Isiolo,55.61,Male,29.39,56562,No,90
High,High,Moderate,No,Yes,Low,>9 years,No,No,0.0,1.0,0.5,1,0,1,0.0,1,1,0.54,Maize,FARM_0594,Garissa,55.61,Female,72.58,56390,No,34
Moderate,Moderate,Low,Yes,Yes,High,1-4 years,Yes,No,0.5,0.5,1.0,0,0,0,0.5,0,1,0.375,Maize,FARM_0595,Mombasa,55.61,Male,12.14,15400,Yes,20
High,High,Moderate,No,Yes,Low,>9 years,No,No,0.0,1.0,0.5,1,0,1,0.0,1,1,0.54,Maize,FARM_0596,Kisumu,55.61,Female,74.18,102368,No,33
High,Low,Low,No,Yes,Low,1-4 years,Yes,Yes,0.0,0.0,1.0,1,0,1,0.5,0,0,0.41,Beans,FARM_0597,Kirinyaga,137.27,Male,17.63,21363,Yes,21
High,Low,High,No,Yes,High,>9 years,Yes,Yes,0.0,0.0,0.0,1,0,0,0.0,0,0,0.13,Beans,FARM_0598,Mombasa,137.27,Male,17.74,41976,No,55
High,High,Moderate,No,Yes,High,5-9 years,Yes,Yes,0.0,1.0,0.5,1,0,0,0.0,0,0,0.37,Maize,FARM_0599,Meru,55.61,Male,77.12,106464,No,64
High,High,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.5,0,0,0.21,Beans,FARM_0600,Kajiado,137.27,Male,89.33,83482,No,29
Low,High,High,Yes,Yes,High,>9 years,Yes,Yes,1.0,1.0,0.0,0,0,0,0.0,0,0,0.35,Maize,FARM_0601,Garissa,55.61,Female,24.57,57417,No,51
High,Low,High,No,No,Low,5-9 years,Yes,Yes,0.0,0.0,0.0,1,1,1,0.0,0,0,0.36,Beans,FARM_0602,Makueni,137.27,Male,10.41,24634,No,63
Low,Low,Moderate,Yes,No,High,>9 years,No,Yes,1.0,0.0,0.5,0,1,0,0.0,1,0,0.43,Beans,FARM_0603,Tana River,137.27,Female,76.78,155523,No,23
Moderate,Low,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.5,0.0,0.5,0,0,0,0.0,0,0,0.16,Beans,FARM_0604,Isiolo,137.27,Male,3.96,4931,No,26
Low,Low,High,Yes,Yes,High,1-4 years,No,No,1.0,0.0,0.0,0,0,0,0.5,1,1,0.29,Maize,FARM_0605,Baringo,55.61,Male,16.32,38654,No,42
High,Moderate,Moderate,Yes,Yes,High,<1 year,Yes,Yes,0.0,0.5,0.5,0,0,0,0.5,0,0,0.195,Maize,FARM_0606,Nyandarua,55.61,Female,10.45,22069,No,22
High,Moderate,High,Yes,Yes,Low,>9 years,Yes,Yes,0.0,0.5,0.0,0,0,1,0.0,0,0,0.185,Maize,FARM_0607,Mombasa,55.61,Male,22.86,29529,No,81
Low,Low,Moderate,No,Yes,High,<1 year,Yes,No,1.0,0.0,0.5,1,0,0,0.5,0,1,0.44,Maize,FARM_0608,Narok,55.61,Male,15.47,20259,No,79
Low,Low,Low,No,No,High,>9 years,No,No,1.0,0.0,1.0,1,1,0,0.0,1,1,0.6500000000000001,Maize,FARM_0609,Kwale,55.61,Female,16.93,50665,No,19
High,Low,Moderate,Yes,Yes,High,1-4 years,No,Yes,0.0,0.0,0.5,0,0,0,0.5,1,0,0.16,Maize,FARM_0610,Elgeyo-Marakwet,55.61,Female,65.41,88620,No,79
Low,Low,Moderate,Yes,No,Low,5-9 years,No,Yes,1.0,0.0,0.5,0,1,1,0.0,1,0,0.53,Maize,FARM_0611,Bungoma,55.61,Male,78.08,157032,Yes,36
Low,Moderate,Moderate,No,No,High,5-9 years,Yes,Yes,1.0,0.5,0.5,1,1,0,0.0,0,0,0.595,Maize,FARM_0612,Busia,55.61,Male,82.14,108341,No,47
High,High,Moderate,Yes,No,Low,1-4 years,Yes,Yes,0.0,1.0,0.5,0,1,1,0.5,0,0,0.51,Maize,FARM_0613,Nyamira,55.61,Male,12.13,26911,No,59
High,High,Moderate,No,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.5,1,0,0,0.0,0,0,0.37,Maize,FARM_0614,Tharaka Nithi,55.61,Male,13.31,29258,No,87
High,High,High,No,Yes,High,5-9 years,No,Yes,0.0,1.0,0.0,1,0,0,0.0,1,0,0.35,Maize,FARM_0615,Nandi,55.61,Male,79.18,160805,No,49
High,High,High,Yes,Yes,Low,>9 years,Yes,Yes,0.0,1.0,0.0,0,0,1,0.0,0,0,0.27,Maize,FARM_0616,Marsabit,55.61,Male,64.98,111568,No,72
Moderate,Moderate,High,Yes,Yes,High,1-4 years,No,Yes,0.5,0.5,0.0,0,0,0,0.5,1,0,0.265,Beans,FARM_0617,Makueni,137.27,Male,24.74,33643,No,22
Moderate,High,Moderate,No,Yes,Low,>9 years,Yes,Yes,0.5,1.0,0.5,1,0,1,0.0,0,0,0.56,Maize,FARM_0618,Machakos,55.61,Male,17.47,41739,No,62
Moderate,Low,High,No,No,High,>9 years,Yes,Yes,0.5,0.0,0.0,1,1,0,0.0,0,0,0.35,Beans,FARM_0619,Laikipia,137.27,Male,89.72,209326,Yes,43
High,High,High,Yes,Yes,High,1-4 years,No,Yes,0.0,1.0,0.0,0,0,0,0.5,1,0,0.26,Maize,FARM_0620,Kisii,55.61,Male,29.96,43565,No,20
Low,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,No,1.0,0.5,0.5,0,0,0,0.0,0,1,0.355,Maize,FARM_0621,Bomet,55.61,Male,25.11,28243,No,47
Moderate,Low,Moderate,No,No,Low,5-9 years,Yes,Yes,0.5,0.0,0.5,1,1,1,0.0,0,0,0.52,Beans,FARM_0622,Turkana,137.27,Male,24.55,50095,No,25
Moderate,Low,Low,No,Yes,High,>9 years,No,Yes,0.5,0.0,1.0,1,0,0,0.0,1,0,0.41,Beans,FARM_0623,Bomet,137.27,Female,28.39,64175,No,39
High,Moderate,High,Yes,Yes,Low,5-9 years,No,No,0.0,0.5,0.0,0,0,1,0.0,1,1,0.255,Maize,FARM_0624,Taita Taveta,55.61,Male,74.94,178440,No,82
High,High,High,No,Yes,Low,1-4 years,No,Yes,0.0,1.0,0.0,1,0,1,0.5,1,0,0.49,Beans,FARM_0625,Baringo,137.27,Female,7.5,16518,Yes,79
Moderate,Moderate,High,Yes,No,High,5-9 years,No,Yes,0.5,0.5,0.0,0,1,0,0.0,1,0,0.355,Beans,FARM_0626,Mombasa,137.27,Female,25.73,62217,Yes,37
Moderate,High,Low,Yes,Yes,Low,>9 years,No,No,0.5,1.0,1.0,0,0,1,0.0,1,1,0.5700000000000001,Beans,FARM_0627,Uasin Gishu,137.27,Male,14.55,35168,No,45
Moderate,High,Low,No,Yes,High,5-9 years,No,Yes,0.5,1.0,1.0,1,0,0,0.0,1,0,0.5800000000000001,Beans,FARM_0628,Murang'a,137.27,Female,5.36,13616,No,34
Moderate,Low,High,Yes,Yes,High,1-4 years,Yes,Yes,0.5,0.0,0.0,0,0,0,0.5,0,0,0.13,Maize,FARM_0629,Nakuru,55.61,Female,10.53,17756,No,79
Moderate,Low,Moderate,No,Yes,Low,>9 years,No,Yes,0.5,0.0,0.5,1,0,1,0.0,1,0,0.44,Maize,FARM_0630,Bomet,55.61,Male,12.24,28532,Yes,88
High,Low,High,Yes,No,High,>9 years,No,Yes,0.0,0.0,0.0,0,1,0,0.0,1,0,0.18,Beans,FARM_0631,Laikipia,137.27,Male,24.35,50540,No,56
High,Low,Moderate,Yes,Yes,High,1-4 years,No,No,0.0,0.0,0.5,0,0,0,0.5,1,1,0.18,Beans,FARM_0632,Garissa,137.27,Female,10.03,22398,No,43
Moderate,Moderate,High,No,Yes,High,1-4 years,No,Yes,0.5,0.5,0.0,1,0,0,0.5,1,0,0.3949999999999999,Beans,FARM_0633,Mombasa,137.27,Male,13.29,19905,Yes,50
High,Low,High,No,Yes,High,<1 year,Yes,Yes,0.0,0.0,0.0,1,0,0,0.5,0,0,0.17,Maize,FARM_0634,Kwale,55.61,Male,7.57,14817,No,54
High,High,Moderate,Yes,Yes,Low,>9 years,No,Yes,0.0,1.0,0.5,0,0,1,0.0,1,0,0.39,Beans,FARM_0635,Kisii,137.27,Male,17.58,31330,No,84
Moderate,Low,High,Yes,No,Low,1-4 years,No,Yes,0.5,0.0,0.0,0,1,1,0.5,1,0,0.41,Beans,FARM_0636,Vihiga,137.27,Male,89.55,161730,No,57
High,Low,Moderate,Yes,Yes,Low,>9 years,No,Yes,0.0,0.0,0.5,0,0,1,0.0,1,0,0.22,Maize,FARM_0637,Laikipia,55.61,Male,86.32,250000,No,69
Moderate,High,Low,Yes,Yes,Low,1-4 years,Yes,Yes,0.5,1.0,1.0,0,0,1,0.5,0,0,0.54,Beans,FARM_0638,Kilifi,137.27,Female,85.28,177541,No,82
High,Moderate,Moderate,No,Yes,High,>9 years,No,Yes,0.0,0.5,0.5,1,0,0,0.0,1,0,0.335,Maize,FARM_0639,Kericho,55.61,Male,72.08,66250,No,64
Moderate,Low,High,Yes,Yes,High,>9 years,Yes,Yes,0.5,0.0,0.0,0,0,0,0.0,0,0,0.09,Maize,FARM_0640,Kakamega,55.61,Male,92.27,88983,No,24
Low,Moderate,Moderate,Yes,No,High,1-4 years,No,No,1.0,0.5,0.5,0,1,0,0.5,1,1,0.5750000000000001,Maize,FARM_0641,Lamu,55.61,Male,3.92,11446,No,32
Moderate,Moderate,Moderate,Yes,Yes,High,5-9 years,Yes,No,0.5,0.5,0.5,0,0,0,0.0,0,1,0.265,Beans,FARM_0642,Isiolo,137.27,Male,88.48,179226,No,82
High,High,Moderate,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.0,0,0,0.24,Beans,FARM_0643,Nyamira,137.27,Female,27.77,26761,No,70
High,Low,Low,Yes,Yes,High,>9 years,No,Yes,0.0,0.0,1.0,0,0,0,0.0,1,0,0.19,Maize,FARM_0644,Baringo,55.61,Male,68.21,134751,No,59
High,Low,Moderate,Yes,Yes,Low,5-9 years,Yes,Yes,0.0,0.0,0.5,0,0,1,0.0,0,0,0.17,Maize,FARM_0645,Trans-Nzoia,55.61,Male,1.46,3622,No,56
High,High,Moderate,Yes,Yes,High,>9 years,No,Yes,0.0,1.0,0.5,0,0,0,0.0,1,0,0.29,Maize,FARM_0646,Tana River,55.61,Female,19.86,57994,No,82
High,Low,High,Yes,Yes,Low,>9 years,Yes,Yes,0.0,0.0,0.0,0,0,1,0.0,0,0,0.1,Maize,FARM_0647,Tharaka Nithi,55.61,Male,19.3,52350,No,18
High,Moderate,Moderate,Yes,Yes,High,5-9 years,No,Yes,0.0,0.5,0.5,0,0,0,0.0,1,0,0.205,Beans,FARM_0648,Uasin Gishu,137.27,Male,17.3,47064,No,50
High,Low,High,No,No,High,5-9 years,No,Yes,0.0,0.0,0.0,1,1,0,0.0,1,0,0.31,Beans,FARM_0649,Elgeyo-Marakwet,137.27,Male,77.99,76692,Yes,51
Low,Low,High,Yes,Yes,High,>9 years,Yes,Yes,1.0,0.0,0.0,0,0,0,0.0,0,0,0.18,Beans,FARM_0650,Siaya,137.27,Male,14.51,26477,No,20
Low,Moderate,High,Yes,Yes,High,>9 years,No,No,1.0,0.5,0.0,0,0,0,0.0,1,1,0.335,Maize,FARM_0651,Vihiga,55.61,Female,7.07,9857,No,88
